"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","370670022","1","7.1","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/02/2022","AQS","370670022","1","8","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/03/2022","AQS","370670022","1","15.7","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/04/2022","AQS","370670022","1","19","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/05/2022","AQS","370670022","1","15.2","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/06/2022","AQS","370670022","1","28.2","ppb","26","Hattie Avenue","19","79.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/07/2022","AQS","370670022","1","13","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/08/2022","AQS","370670022","1","19.7","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/09/2022","AQS","370670022","1","7.3","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/10/2022","AQS","370670022","1","10.9","ppb","9","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/11/2022","AQS","370670022","1","25.4","ppb","24","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/12/2022","AQS","370670022","1","22.9","ppb","21","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/13/2022","AQS","370670022","1","32","ppb","30","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/14/2022","AQS","370670022","1","26.4","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/15/2022","AQS","370670022","1","16.8","ppb","15","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/16/2022","AQS","370670022","1","11.1","ppb","10","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/17/2022","AQS","370670022","1","6.8","ppb","6","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/18/2022","AQS","370670022","1","39","ppb","37","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/19/2022","AQS","370670022","1","37","ppb","35","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/20/2022","AQS","370670022","1","22.8","ppb","21","Hattie Avenue","19","79.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/21/2022","AQS","370670022","1","6.7","ppb","6","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/22/2022","AQS","370670022","1","34.1","ppb","32","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/23/2022","AQS","370670022","1","26","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/24/2022","AQS","370670022","1","29.5","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/29/2022","AQS","370670022","1","8.2","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/30/2022","AQS","370670022","1","26.3","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"01/31/2022","AQS","370670022","1","14.4","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/01/2022","AQS","370670022","1","23.6","ppb","22","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/02/2022","AQS","370670022","1","29.4","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/03/2022","AQS","370670022","1","24","ppb","23","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/04/2022","AQS","370670022","1","16.1","ppb","15","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/05/2022","AQS","370670022","1","6.1","ppb","6","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/06/2022","AQS","370670022","1","10.1","ppb","9","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/07/2022","AQS","370670022","1","7.5","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/08/2022","AQS","370670022","1","39.5","ppb","37","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/09/2022","AQS","370670022","1","27.3","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/10/2022","AQS","370670022","1","22.3","ppb","21","Hattie Avenue","20","83.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/11/2022","AQS","370670022","1","27.6","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/12/2022","AQS","370670022","1","16.1","ppb","15","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/13/2022","AQS","370670022","1","23.8","ppb","22","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/14/2022","AQS","370670022","1","25.2","ppb","24","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/15/2022","AQS","370670022","1","19.5","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/16/2022","AQS","370670022","1","29","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/17/2022","AQS","370670022","1","11.2","ppb","10","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/18/2022","AQS","370670022","1","4.6","ppb","4","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/19/2022","AQS","370670022","1","22.9","ppb","21","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/20/2022","AQS","370670022","1","17.4","ppb","16","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/21/2022","AQS","370670022","1","27.8","ppb","25","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/22/2022","AQS","370670022","1","15.5","ppb","14","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/23/2022","AQS","370670022","1","28.7","ppb","26","Hattie Avenue","19","79.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/24/2022","AQS","370670022","1","7.4","ppb","7","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/25/2022","AQS","370670022","1","9.1","ppb","8","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/26/2022","AQS","370670022","1","14.3","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/27/2022","AQS","370670022","1","14.8","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"02/28/2022","AQS","370670022","1","19","ppb","18","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/01/2022","AQS","370670022","1","24.6","ppb","23","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/02/2022","AQS","370670022","1","29.6","ppb","27","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/03/2022","AQS","370670022","1","14.6","ppb","13","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
"03/04/2022","AQS","370670022","1","13.5","ppb","12","Hattie Avenue","23","96.0000","42602","Nitrogen dioxide (NO2)","49180","Winston-Salem, NC","37","North Carolina","067","Forsyth","36.11094","-80.224501"
