"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","370630015","3","5.3","ug/m3 LC","22","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/02/2022","AQS","370630015","3","2.8","ug/m3 LC","12","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/03/2022","AQS","370630015","3","2.3","ug/m3 LC","10","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/04/2022","AQS","370630015","3","5.1","ug/m3 LC","21","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/05/2022","AQS","370630015","3","8.5","ug/m3 LC","35","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/06/2022","AQS","370630015","3","7","ug/m3 LC","29","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/07/2022","AQS","370630015","3","3.6","ug/m3 LC","15","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/08/2022","AQS","370630015","3","6.7","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/09/2022","AQS","370630015","3","6.7","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/10/2022","AQS","370630015","3","3.5","ug/m3 LC","15","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/11/2022","AQS","370630015","3","5.9","ug/m3 LC","25","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/12/2022","AQS","370630015","3","8.6","ug/m3 LC","36","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/13/2022","AQS","370630015","3","11.8","ug/m3 LC","49","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/14/2022","AQS","370630015","3","8.5","ug/m3 LC","35","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/15/2022","AQS","370630015","3","6.7","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/16/2022","AQS","370630015","3","4.6","ug/m3 LC","19","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/17/2022","AQS","370630015","3","4.6","ug/m3 LC","19","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/18/2022","AQS","370630015","3","5.7","ug/m3 LC","24","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/19/2022","AQS","370630015","3","11","ug/m3 LC","46","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/20/2022","AQS","370630015","3","9.2","ug/m3 LC","38","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/21/2022","AQS","370630015","3","4.5","ug/m3 LC","19","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/22/2022","AQS","370630015","3","6.7","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/23/2022","AQS","370630015","3","11.7","ug/m3 LC","49","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/24/2022","AQS","370630015","3","9.2","ug/m3 LC","38","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/25/2022","AQS","370630015","3","11.5","ug/m3 LC","48","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/26/2022","AQS","370630015","3","8.1","ug/m3 LC","34","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/27/2022","AQS","370630015","3","11.3","ug/m3 LC","47","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/28/2022","AQS","370630015","3","15","ug/m3 LC","57","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/29/2022","AQS","370630015","3","6.3","ug/m3 LC","26","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/30/2022","AQS","370630015","3","6.8","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"01/31/2022","AQS","370630015","3","10.8","ug/m3 LC","45","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/01/2022","AQS","370630015","3","10.8","ug/m3 LC","45","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/02/2022","AQS","370630015","3","10.1","ug/m3 LC","42","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/03/2022","AQS","370630015","3","10","ug/m3 LC","42","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/04/2022","AQS","370630015","3","3","ug/m3 LC","13","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/05/2022","AQS","370630015","3","3.7","ug/m3 LC","15","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/06/2022","AQS","370630015","3","7.5","ug/m3 LC","31","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/07/2022","AQS","370630015","3","6.2","ug/m3 LC","26","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/08/2022","AQS","370630015","3","7","ug/m3 LC","29","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/09/2022","AQS","370630015","3","8.5","ug/m3 LC","35","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/10/2022","AQS","370630015","3","6.8","ug/m3 LC","28","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/11/2022","AQS","370630015","3","9.3","ug/m3 LC","39","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/12/2022","AQS","370630015","3","17.4","ug/m3 LC","62","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/13/2022","AQS","370630015","3","9.7","ug/m3 LC","40","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/14/2022","AQS","370630015","3","7.2","ug/m3 LC","30","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/15/2022","AQS","370630015","3","8.6","ug/m3 LC","36","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/16/2022","AQS","370630015","3","9.7","ug/m3 LC","40","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/17/2022","AQS","370630015","3","5.8","ug/m3 LC","24","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/18/2022","AQS","370630015","3","2.3","ug/m3 LC","10","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/19/2022","AQS","370630015","3","3.2","ug/m3 LC","13","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/20/2022","AQS","370630015","3","4.7","ug/m3 LC","20","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/21/2022","AQS","370630015","3","9.6","ug/m3 LC","40","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/22/2022","AQS","370630015","3","4.2","ug/m3 LC","18","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/23/2022","AQS","370630015","3","7.2","ug/m3 LC","30","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/24/2022","AQS","370630015","3","5.7","ug/m3 LC","24","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/25/2022","AQS","370630015","3","5.3","ug/m3 LC","22","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/26/2022","AQS","370630015","3","4.7","ug/m3 LC","20","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/27/2022","AQS","370630015","3","6.5","ug/m3 LC","27","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"02/28/2022","AQS","370630015","3","4.7","ug/m3 LC","20","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/01/2022","AQS","370630015","3","7.1","ug/m3 LC","30","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/02/2022","AQS","370630015","3","8.1","ug/m3 LC","34","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/03/2022","AQS","370630015","3","8.4","ug/m3 LC","35","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/04/2022","AQS","370630015","3","5.3","ug/m3 LC","22","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
"03/05/2022","AQS","370630015","3","14.7","ug/m3 LC","56","Durham Armory","1","100.0000","88101","PM2.5 - Local Conditions","20500","Durham-Chapel Hill, NC","37","North Carolina","063","Durham","36.0329550008979","-78.904037"
