"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","370130151","1","6.2","ppb","9","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/02/2022","AQS","370130151","1","12.9","ppb","17","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/03/2022","AQS","370130151","1","0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/04/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/05/2022","AQS","370130151","1","3.7","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/06/2022","AQS","370130151","1","1.3","ppb","1","Bayview Ferry","22","92.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/07/2022","AQS","370130151","1","5.4","ppb","7","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/08/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/09/2022","AQS","370130151","1","2.3","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/10/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/11/2022","AQS","370130151","1","0.5","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/12/2022","AQS","370130151","1","2.9","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/13/2022","AQS","370130151","1","1.6","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/14/2022","AQS","370130151","1","0.8","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/15/2022","AQS","370130151","1","0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/16/2022","AQS","370130151","1","0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/17/2022","AQS","370130151","1","1","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/18/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/19/2022","AQS","370130151","1","2.1","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/20/2022","AQS","370130151","1","1.6","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/21/2022","AQS","370130151","1","0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/22/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/23/2022","AQS","370130151","1","2.4","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/24/2022","AQS","370130151","1","1","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/25/2022","AQS","370130151","1","1.4","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/26/2022","AQS","370130151","1","0.7","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/27/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/28/2022","AQS","370130151","1","0.4","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/29/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/30/2022","AQS","370130151","1","2.1","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"01/31/2022","AQS","370130151","1","0.5","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/02/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/03/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/04/2022","AQS","370130151","1","6.4","ppb","9","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/05/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/06/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/07/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/08/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/09/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/10/2022","AQS","370130151","1","3.3","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/11/2022","AQS","370130151","1","2.4","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/12/2022","AQS","370130151","1","3.7","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/13/2022","AQS","370130151","1","2.2","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/14/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
