X,Y,FID,HANDLER_ID,SITE_NAME,LOC_STR_NO,LOC_ADDR_1,LOC_ADDR_2,LOC_CITY,LOC_COUNTY,LOC_ZIP,CONTACT_NA,CONTACT_PH,GENERATOR,TRANSPORTE,TREATER,STORER,LAND_UNIT,HSWA_PERMI,LAT,LONG,HCS_CODE,HCS_REF,HCS_RES
-8894951.7405,4301529.6974,1,NCD096158696,ALBERDINGK BOLEY INC,6008,HIGH POINT RD, ,GREENSBORO,GUILFORD,27407,KAY A JACOBS,336-454-5000 360,SQG,N, , , , ,36.006601,-79.904711,40,BATCHGEO.COM - YAHOO API,ROOFTOP
-8752132.0621,4276124.8308,2,NCD003185238,"ALCATEL LUCENT USA, INC",2912,WAKE FOREST RD, ,RALEIGH,WAKE,27609,DIKRAN  KABBENDJIAN,919-850-6248,N,N, , , ,Y,35.82177,-78.62174,31,GOOGLE EARTH, 
-8930694.0913,4308134.0971,3,NCD003213907,ALCATEL-LUCENT USA INC.,3370,OLD LEXINGTON RD.,BLDG. 46,WINSTON-SALEM,FORSYTH,27107,GARY M FISHER,9085825771,LQG,N, , ,Y, ,36.05458,-80.22579,31,GOOGLE EARTH, 
-8918524.6446,4219495.9245,4,NCD003162542,ALCOA - BADIN WORKS,293,HIGHWAY 740, ,BADIN,STANLY,28009,RANDALL E KISER,7044225685,SQG,N, , , ,Y,35.40822,-80.11647,31,GOOGLE EARTH, 
-8918238.4421,4218736.5611,5,NCD986188548,ALCOA POWER GEN INC- NARROWS POWERHOUSE, ,NARROWS DAM ROAD (NCSR 1704),PO BOX 576,BADIN,STANLY,28009,MARK J GROSS,704-422-5774,LQG,N, , , , ,35.40266,-80.113899,40,BATCHGEO.COM - YAHOO API,UNKNOWN
-8917906.8214,4248125.0178,6,NCD986188522,ALCOA POWER GENERATING INC - HIGH ROCK POWERHOUSE, ,BRINGLES FERRY RD, ,DENTON,DAVIDSON,27239,MARK J GROSS,704-422-5774,SQG,N, , , , ,35.61756,-80.11092,40,USCGeocoder,USPSZipAreaCentroid - Exact
-8918298.2207,4219172.5057,7,NCD986188530,ALCOA POWER GENERATING INC- FALLS POWERHOUSE, ,NCSR 1727, ,BADIN,STANLY,28009,MARK J GROSS,704-422-5774,SQG,N, , , , ,35.405852,-80.114436,40,USCGeocoder,USPSZipAreaCentroid - Exact
-8973918.225,4234468.2694,8,NCD031879752,ALDO PRODUCTS CO INC,1604,N MAIN ST, ,KANNAPOLIS,CABARRUS,28081,CHARLES E JOHNSON,704-932-3054,SQG,N, , , , ,35.517768,-80.614079,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8792248.0443,4347689.1013,9,NCD980844674,ALERIS ROLLED PRODUCTS INC,3321,DURHAM ROAD, ,ROXBORO,PERSON,27573,MICHAEL L MCDERMOTT,740-601-6153,LQG,N, , , , ,36.341323,-78.982108,40,BATCHGEO.COM - YAHOO API,RANGE_INTERPOLATED
-8563667.8302,4355085.1542,10,NCD045924487,ALFINITI INC,600,N METCALF ST, ,WINTON,HERTFORD,27986,RUSSELL S WEAVER,252-358-5811 207,SQG,N, , , , ,36.394822,-76.928737,40,BATCHGEO.COM - YAHOO API,GEOMETRIC_CENTER
